"","zip","county","County.FIP","Name","State","State.FIP","County.Name"
"2178","43912",39013,13,"Ohio","OH",39,"Belmont County"
"2179","43021",39041,41,"Ohio","OH",39,"Delaware County"
"2180","44704",39151,151,"Ohio","OH",39,"Stark County"
"2181","44889",39043,43,"Ohio","OH",39,"Erie County"
"2182","44901",39139,139,"Ohio","OH",39,"Richland County"
"2183","44676",39169,169,"Ohio","OH",39,"Wayne County"
"2184","44272",39133,133,"Ohio","OH",39,"Portage County"
"2185","44304",39153,153,"Ohio","OH",39,"Summit County"
"2186","44402",39155,155,"Ohio","OH",39,"Trumbull County"
"2187","44410",39155,155,"Ohio","OH",39,"Trumbull County"
"2188","44320",39153,153,"Ohio","OH",39,"Summit County"
"2189","44411",39133,133,"Ohio","OH",39,"Portage County"
"2190","44250",39153,153,"Ohio","OH",39,"Summit County"
"2191","44408",39099,99,"Ohio","OH",39,"Mahoning County"
"2192","45331",39037,37,"Ohio","OH",39,"Darke County"
"2193","45305",39057,57,"Ohio","OH",39,"Greene County"
"2194","45337",39109,109,"Ohio","OH",39,"Miami County"
"2195","45351",39037,37,"Ohio","OH",39,"Darke County"
"2196","45383",39109,109,"Ohio","OH",39,"Miami County"
"2197","45245",39025,25,"Ohio","OH",39,"Clermont County"
"2198","45341",39023,23,"Ohio","OH",39,"Clark County"
"2199","45377",39113,113,"Ohio","OH",39,"Montgomery County"
"2200","45719",39009,9,"Ohio","OH",39,"Athens County"
"2201","45784",39167,167,"Ohio","OH",39,"Washington County"
"2202","45669",39087,87,"Ohio","OH",39,"Lawrence County"
"2203","45648",39145,145,"Ohio","OH",39,"Scioto County"
"2204","45645",39087,87,"Ohio","OH",39,"Lawrence County"
"2205","45695",39163,163,"Ohio","OH",39,"Vinton County"
"2206","45646",39131,131,"Ohio","OH",39,"Pike County"
"2207","43321",39117,117,"Ohio","OH",39,"Morrow County"
"2208","43220",39049,49,"Ohio","OH",39,"Franklin County"
"2209","43334",39117,117,"Ohio","OH",39,"Morrow County"
"2210","43755",39059,59,"Ohio","OH",39,"Guernsey County"
"2211","45052",39061,61,"Ohio","OH",39,"Hamilton County"
"2212","45066",39165,165,"Ohio","OH",39,"Warren County"
"2213","45120",39025,25,"Ohio","OH",39,"Clermont County"
"2214","45135",39027,27,"Ohio","OH",39,"Clinton County"
"2215","45054",39165,165,"Ohio","OH",39,"Warren County"
"2216","45113",39027,27,"Ohio","OH",39,"Clinton County"
"2217","43211",39049,49,"Ohio","OH",39,"Franklin County"
"2218","45601",39141,141,"Ohio","OH",39,"Ross County"
"2219","45405",39113,113,"Ohio","OH",39,"Montgomery County"
